Australia,Belgium,Brazil,Canada,Chile,China,Colombia,France,Germany,Greece,India,Ireland,Italy,Japan,Mexico,Netherlands,Pakistan,Russia,Singapore,S Korea,Spain,Sweden,UK,US,Vietnam
32.55860182,26.80771591,49.99070079,30.93330779,9.999717616,14.61287031,37.88657337,37.19151321,26.98471401,18.06717481,29.19593083,2.028218695,33.68096328,16.02306724,21.17565496,9.676343426,30.84109586,53.40202004,23.52855137,20.2321608,22.55813269,33.85711377,19.85935998,11.22169363,20.68492345
31.96640823,24.46152017,55.76412688,19.26483173,13.44643192,14.09622644,47.44248589,35.45294351,33.69085891,22.48109806,28.87584951,2.91005291,66.65400856,24.20276011,29.00377981,14.19560454,32.04078582,50.75854894,28.04156953,21.39879027,23.95428005,31.7760653,33.01100223,13.27129883,45.78837928
36.39132737,12.60156767,24.48621097,25.84366477,13.28748211,13.04702934,57.88513724,18.63294202,34.5189393,15.58267786,22.77264773,1.587301587,42.39157009,25.28629828,28.69907656,9.4337909,22.89341003,34.86610718,18.46451203,33.00862969,22.78373511,36.66934585,31.24520055,22.98366956,41.96217232
15.89450039,21.55626064,40.82033291,22.98728099,17.74586779,15.33532356,43.59606789,26.08522671,27.07135023,15.44236309,39.18180702,0.462962963,38.36924651,13.65136539,25.92541992,16.61554196,21.9967257,68.60125999,21.17448864,32.85274698,21.89507461,30.84849857,28.15089043,20.96236372,37.18868977
26.98361305,18.05798738,43.52140874,16.80813461,18.72086598,16.65769908,59.10177928,49.35621223,30.54367142,19.72066874,32.34069117,4.592070024,18.72575596,13.40844784,42.86672245,18.30407734,25.74147795,56.85444518,22.36563129,27.24587011,30.87076662,30.5071682,21.41325078,19.80809024,58.21077993
24.7188555,12.13223823,42.75794934,19.09408421,18.29178572,8.199349181,61.39378346,40.00720893,19.41154625,14.96734752,31.34417883,11.77662037,40.15722399,12.9389341,47.33820311,19.97864963,22.41978954,25.68563226,15.65394361,32.41616757,37.90689381,39.98379727,27.09708746,24.73455169,55.12548855
21.56583366,57.20808427,49.76258547,17.53953968,11.30113246,21.87750043,41.62990747,38.42712916,24.99793286,18.15007884,35.27761307,16.15488788,50.14054299,35.26726301,26.55852544,61.19998228,24.1600377,52.78313972,39.70877506,60.06121273,59.36721433,30.88752036,19.42060865,45.74971539,36.52225554
21.52664833,29.39700526,66.43514149,33.49640048,20.82063141,27.56659584,75.17362878,47.85788385,49.23588107,26.15441684,37.18603282,9.455581402,38.39632126,57.27304713,55.51339579,45.75192343,33.02833068,43.89282009,28.66742583,22.18607456,32.5714525,40.26442887,35.82985178,17.76150951,22.26925109
27.36487272,55.47901124,37.09666524,41.1232491,18.87792568,16.8079319,76.40814793,29.88897242,67.42587562,35.89713703,39.12419282,16.65233686,45.35624567,27.51881711,43.62249063,26.20719479,18.50158702,13.01769911,22.4963983,28.88249982,29.74948471,32.51869279,35.82985178,43.61302772,28.84562938
12.87348475,63.44941117,54.67640004,17.32309743,8.412589048,29.72229636,52.98227873,34.45180472,28.79545785,17.38685625,50.64633346,23.28703704,41.30001634,47.16715788,29.97382818,45.70569198,26.42314343,53.39748206,55.56175047,35.24928548,36.48430728,40.49176993,18.12766712,26.17512223,25.24588067
27.68002191,22.30594888,65.18696122,37.86731961,19.49192866,36.93784921,68.0789072,38.75845502,47.30426437,38.56847398,56.00965896,3.21247983,23.74146797,45.39366751,50.8054758,24.30340973,22.6939045,68.69352879,30.34766554,22.00035657,24.57567816,34.0373373,31.16448615,33.50721471,24.17330041
22.16898146,27.59760839,30.54658947,21.66758757,21.40229086,25.26027396,51.85383279,38.89429474,29.58544909,47.31366838,26.31102945,5.800126764,40.34287256,23.18941391,54.52918498,18.51691069,43.82688926,19.58975691,32.80710402,37.25618048,37.47510113,36.96550903,32.31420779,31.63659457,25.40145339
19.65580096,35.82931664,59.56141523,19.13283134,6.150809138,36.98765655,35.84997722,41.485383,18.39182082,22.67301862,40.77103144,6.929134823,22.68117508,44.78507664,23.08810731,20.81930622,54.36077969,30.56389478,36.62618321,38.69421569,36.62242736,41.05603281,36.16025333,28.69393944,28.28942046
24.64491323,27.42369224,55.89738628,34.36257663,19.33738213,33.13245389,52.36092798,37.75273658,24.47735319,16.42438044,39.94800949,6.747664772,29.55559177,36.08334068,73.8294646,44.82590976,26.05244565,37.00143125,37.18948266,22.88218474,26.68975532,28.95679495,40.17121163,31.94471143,24.0630063
16.56522124,20.12713308,26.29610577,21.39233435,20.75924397,26.74945817,33.46169363,36.51402746,26.0493938,18.1122618,25.43987492,1.697530864,44.61933382,14.71024829,86.14629719,27.54029254,19.56689516,12.41650528,13.42376163,39.51616188,22.80852008,42.07382014,40.17121163,26.78011615,32.03160195
12.23212835,24.96771752,68.12223382,23.0824617,13.54792401,34.68287761,36.74526744,31.40476219,18.88579788,13.87127424,32.93187704,4.05643739,44.92444277,54.84468778,38.01967234,23.92071623,28.57964489,28.20083847,33.55174465,40.87378171,31.92109595,36.93693131,57.45056675,38.26625228,22.70000407
35.125808,17.72316379,72.34086942,25.48509446,19.90897172,26.72545971,31.96818212,41.06928574,26.80050959,12.6984648,24.50831961,1.968462824,26.10983732,31.38462833,72.65985284,23.79678185,25.01840078,32.27671296,32.43091036,20.17688208,21.43891254,34.63077626,18.76679182,24.77927907,23.00707555
28.10637569,25.57688451,31.34676006,24.90080717,19.78303433,12.54961893,35.80487223,41.61246335,23.95624145,14.60007212,20.88519937,1.814058957,47.8010287,20.83518698,70.52739203,29.61258474,28.33940438,28.11274482,21.51191574,41.6577395,30.05046451,34.20022145,44.15793367,14.71597135,30.8554194
25.76671408,29.89271763,55.54595419,22.40218069,10.99674249,48.56947803,31.62101349,27.52486196,27.58080595,13.81971382,21.31964168,1.587301587,31.03761348,58.96048602,32.10621641,52.09400182,27.69210482,54.64002305,53.61050419,36.90275506,34.70024311,40.77066693,55.41263129,28.46625902,24.25842852
24.0012689,24.18971808,69.76700321,39.09683393,20.3673884,16.37542531,35.50602385,37.36919425,35.20759912,10.9940095,24.56951918,3.405017921,32.31944185,23.93137011,55.91448181,44.55077497,26.87292309,53.92302889,49.07381093,26.00365856,29.49379076,34.05434575,28.22914976,23.95255954,31.35818719
28.19294841,26.54691098,28.10925256,46.63846296,14.41238661,13.03980784,37.4101653,19.01857791,41.74596938,13.7494823,29.36268937,1.785714286,25.37659087,15.38457738,46.63519625,27.80507147,18.90999754,22.76528887,19.8835903,48.54781575,31.6354483,34.63885914,29.32633709,23.26670364,83.00718107
10.03509629,29.11186831,57.55913813,47.88315323,8.594811201,18.95236135,39.11979604,21.52757534,20.1937385,9.16703391,31.67889183,1.785714286,22.65613424,39.27540136,28.04877649,43.06770635,32.47451668,52.20920635,32.45306574,45.69347407,28.04115996,32.88493994,28.07885487,18.85748312,32.84356514
18.16723295,23.75210781,66.36612911,31.19683454,18.9103399,21.00735712,32.27375586,33.39728757,39.96665815,14.31041926,23.82754406,3.260901095,19.54139734,33.3777937,55.2295801,24.57485787,33.98088311,33.95321724,28.31693072,31.02867638,19.60835154,30.63115369,29.01419399,14.18975956,33.15644241
