EPU_NationalAK,EPU_StateAK,EPU_CompositeAK,EPU_NationalAL,EPU_StateAL,EPU_CompositeAL,EPU_NationalAR,EPU_StateAR,EPU_CompositeAR,EPU_NationalAZ,EPU_StateAZ,EPU_CompositeAZ,EPU_NationalCA,EPU_StateCA,EPU_CompositeCA,EPU_NationalCO,EPU_StateCO,EPU_CompositeCO,EPU_NationalCT,EPU_StateCT,EPU_CompositeCT,EPU_NationalDC,EPU_StateDC,EPU_CompositeDC,EPU_NationalDE,EPU_StateDE,EPU_CompositeDE,EPU_NationalFL,EPU_StateFL,EPU_CompositeFL,EPU_NationalGA,EPU_StateGA,EPU_CompositeGA,EPU_NationalHI,EPU_StateHI,EPU_CompositeHI,EPU_NationalIA,EPU_StateIA,EPU_CompositeIA,EPU_NationalID,EPU_StateID,EPU_CompositeID,EPU_NationalIL,EPU_StateIL,EPU_CompositeIL,EPU_NationalIN,EPU_StateIN,EPU_CompositeIN,EPU_NationalKS,EPU_StateKS,EPU_CompositeKS,EPU_NationalKY,EPU_StateKY,EPU_CompositeKY,EPU_NationalLA,EPU_StateLA,EPU_CompositeLA,EPU_NationalMA,EPU_StateMA,EPU_CompositeMA,EPU_NationalMD,EPU_StateMD,EPU_CompositeMD,EPU_NationalME,EPU_StateME,EPU_CompositeME,EPU_NationalMI,EPU_StateMI,EPU_CompositeMI,EPU_NationalMN,EPU_StateMN,EPU_CompositeMN,EPU_NationalMO,EPU_StateMO,EPU_CompositeMO,EPU_NationalMS,EPU_StateMS,EPU_CompositeMS,EPU_NationalMT,EPU_StateMT,EPU_CompositeMT,EPU_NationalNC,EPU_StateNC,EPU_CompositeNC,EPU_NationalND,EPU_StateND,EPU_CompositeND,EPU_NationalNE,EPU_StateNE,EPU_CompositeNE,EPU_NationalNH,EPU_StateNH,EPU_CompositeNH,EPU_NationalNJ,EPU_StateNJ,EPU_CompositeNJ,EPU_NationalNM,EPU_StateNM,EPU_CompositeNM,EPU_NationalNV,EPU_StateNV,EPU_CompositeNV,EPU_NationalNY,EPU_StateNY,EPU_CompositeNY,EPU_NationalOH,EPU_StateOH,EPU_CompositeOH,EPU_NationalOK,EPU_StateOK,EPU_CompositeOK,EPU_NationalOR,EPU_StateOR,EPU_CompositeOR,EPU_NationalPA,EPU_StatePA,EPU_CompositePA,EPU_NationalRI,EPU_StateRI,EPU_CompositeRI,EPU_NationalSC,EPU_StateSC,EPU_CompositeSC,EPU_NationalSD,EPU_StateSD,EPU_CompositeSD,EPU_NationalTN,EPU_StateTN,EPU_CompositeTN,EPU_NationalTX,EPU_StateTX,EPU_CompositeTX,EPU_NationalUT,EPU_StateUT,EPU_CompositeUT,EPU_NationalVA,EPU_StateVA,EPU_CompositeVA,EPU_NationalVT,EPU_StateVT,EPU_CompositeVT,EPU_NationalWA,EPU_StateWA,EPU_CompositeWA,EPU_NationalWI,EPU_StateWI,EPU_CompositeWI,EPU_NationalWV,EPU_StateWV,EPU_CompositeWV,EPU_NationalWY,EPU_StateWY,EPU_CompositeWY
93.87802867,225.3072688,244.0828746,51.79341247,10.35868249,62.15209496,59.51722668,59.51722668,89.27584003,52.70456684,52.70456684,52.70456684,57.06050117,92.88918795,136.6798051,37.56564947,37.56564947,68.87035736,76.19012511,29.81352722,92.75319579,52.1298872,60.81820174,86.88314534,137.0479181,274.0958363,274.0958363,87.95028616,52.7701717,113.3581466,106.8343103,13.35428878,113.5114547,44.26177396,66.39266093,66.39266093,41.06840818,41.06840818,82.13681635,73.97671091,59.18136873,88.77205309,65.98356079,34.21369819,87.97808105,39.44765417,23.6685925,63.11624668,88.06038309,7.338365258,95.39874835,33.84608662,16.92304331,33.84608662,115.3234603,38.44115343,115.3234603,10.79493402,13.49366753,43.1797361,74.48947756,9.311184695,74.48947756,13.10241212,104.819297,104.819297,51.7766386,46.02367876,86.29439767,27.32325617,34.15407021,54.64651233,28.49574839,25.32955412,53.82530251,76.97723628,25.65907876,76.97723628,36.07203913,36.07203913,36.07203913,74.56337822,13.98063342,88.54401164,100.9432911,16.82388185,117.7671729,64.05027635,51.24022108,102.4804422,23.515104,117.57552,117.57552,102.512076,41.00483041,138.3913026,37.40343557,18.70171779,56.10515336,30.74408833,92.232265,92.232265,82.47512446,24.74253734,107.2176618,43.81690312,13.14507094,52.58028374,49.12462924,36.84347193,85.96810117,37.76645524,67.97961942,90.63949257,80.23086403,29.65053671,106.3931023,93.04160467,37.21664187,130.2582465,77.99765889,11.99963983,83.9974788,56.2480509,0,56.2480509,100.4059139,27.38343107,118.6615346,76.15654179,30.9385951,102.335353,69.90336762,9.986195375,69.90336762,29.32045638,46.91273021,64.50500404,117.4299684,42.7018067,138.7808718,76.24841179,42.06808926,123.5750122,37.5020491,25.00136607,50.00273214,59.28313439,11.85662688,71.13976126,55.46330876,110.9266175,166.3899263
71.56683195,107.3502479,107.3502479,86.79972262,7.890883874,86.79972262,108.6647212,108.6647212,144.8862949,29.13085623,29.13085623,29.13085623,48.0042396,66.91500066,100.372501,92.95284703,53.11591259,126.1502924,57.57804149,13.54777447,67.73887234,70.59307006,17.64826751,79.41720381,153.5004529,307.0009057,307.0009057,66.51917154,38.29891694,92.72369366,122.9339303,102.4449419,191.2305582,46.90825413,23.45412707,70.3623812,52.75067692,35.16711794,87.91779486,15.92015533,31.84031065,47.76046598,48.8898149,16.29660497,54.32201656,66.77228836,16.69307209,75.1188244,86.54701144,7.867910131,86.54701144,55.39695246,36.93130164,73.86260328,63.22230287,126.4446057,177.022448,48.24001869,48.24001869,48.24001869,59.74047893,49.78373244,109.5242114,13.29593906,53.18375626,53.18375626,24.42767618,54.96227141,73.28302854,52.43082757,14.98023645,59.9209458,56.48522071,3.138067817,56.48522071,82.93727694,82.93727694,138.2287949,18.14121994,36.28243988,36.28243988,67.3321293,46.61455106,103.5878912,97.88386552,27.96681872,111.8672749,39.40873369,13.13624456,52.54497825,23.4080479,23.4080479,23.4080479,99.99679545,16.66613257,111.1075505,16.22842511,16.22842511,32.45685022,70.46353145,70.46353145,105.6952972,57.90157151,13.36190112,66.80950559,108.4016536,27.1004134,117.4351247,79.81502016,26.60500672,93.11752352,75.42002612,41.90001451,92.18003193,101.8476658,22.63281463,116.9362089,35.29316209,17.64658104,52.93974313,32.58997287,39.10796744,58.66195116,57.19267465,0,57.19267465,62.73054182,10.4550903,73.18563213,75.04110994,30.01644397,95.05207259,59.90239977,16.33701812,65.34807248,30.55756479,18.33453887,42.78059071,93.81447205,46.90723603,93.81447205,102.408695,35.62041564,129.1240067,58.60354982,35.16212989,82.04496975,96.5037541,48.25187705,144.7556311,60.48043582,120.9608716,181.4413075
75.19954861,112.7993229,150.3990972,73.33672292,73.33672292,105.930822,105.3423844,105.3423844,105.3423844,31.37978098,31.37978098,31.37978098,69.70319551,57.31151631,111.5251128,53.32162626,39.99121969,93.31284595,58.86410549,51.5060923,88.29615823,87.04554374,19.34345417,87.04554374,160.6585051,321.3170101,321.3170101,52.81274744,25.42835988,70.41699658,69.59646994,34.79823497,104.3947049,20.79614477,20.79614477,20.79614477,16.89199424,67.56797698,76.0139741,25.88343655,51.76687311,77.65030966,57.67317711,16.4780506,74.15122771,35.02696605,35.02696605,70.05393211,126.3599365,15.79499207,126.3599365,38.04981008,19.02490504,57.07471512,82.10412235,54.73608156,109.4721631,11.96909719,35.90729158,47.87638877,72.1089923,72.1089923,113.3141308,45.33275073,45.33275073,90.66550146,38.56254519,57.84381778,89.9792721,40.36102517,8.072205034,40.36102517,15.87222745,22.22111843,31.7444549,57.37445142,57.37445142,57.37445142,18.00894426,36.01788853,36.01788853,79.02991186,52.6866079,115.9105374,45.07350659,30.04900439,45.07350659,58.99914976,58.99914976,103.2485121,47.4738892,23.7369446,47.4738892,175.1263466,45.40312689,220.5294735,51.4776374,51.4776374,85.79606234,32.28266648,64.56533296,64.56533296,105.340068,43.09366419,129.2809926,92.66505832,34.13975833,112.1734917,39.96697543,26.64465029,39.96697543,49.50962587,16.50320862,57.76123019,149.4650756,39.44217274,174.3759216,57.40108467,19.13369489,76.53477955,88.81808518,61.48944358,136.643208,52.68804768,0,52.68804768,101.0948053,10.10948053,101.0948053,113.4959593,61.90688688,152.1877636,63.34339102,36.95031143,95.01508652,52.31213762,46.49967789,75.56197657,86.07903741,43.0395187,96.83891708,111.443141,26.74635383,133.7317692,63.17283164,37.90369898,63.17283164,36.83495942,24.55663961,49.11327923,52.20076118,104.4015224,104.4015224
38.45770566,76.91541132,96.14426415,141.5651694,49.54780931,176.9564618,121.126806,90.84510452,121.126806,25.41007225,25.41007225,25.41007225,76.11606486,48.30442578,114.1740973,97.89355337,36.71008251,122.3669417,51.78271947,40.68642244,81.37284488,55.05737841,9.176229735,64.23360814,174.9342255,349.8684511,349.8684511,87.79229239,41.20862704,107.5007662,88.45625234,31.59151869,120.047771,43.49631093,21.74815546,43.49631093,76.85208521,34.15648232,102.4694469,91.04667613,45.52333806,113.8083452,59.62307298,37.26442061,89.43460947,62.66551695,46.99913771,93.99827543,71.80024697,21.54007409,86.16029636,121.7719595,34.79198844,156.563948,62.73018595,100.3682975,138.0064091,13.56205198,13.56205198,43.39856635,106.0893391,44.20389128,141.4524521,75.84840794,60.67872635,106.1877711,46.92088415,129.0324314,158.357984,111.2373681,41.71401302,145.9990456,40.21700996,24.7489292,61.87232301,114.5403131,68.72418785,137.4483757,53.43099073,35.62066049,53.43099073,51.45628343,23.38921974,70.16765923,60.88029527,15.22007382,76.10036908,61.43613048,73.72335658,135.1594871,73.08866378,24.36288793,73.08866378,137.5057623,22.91762705,154.6939826,40.87135253,13.62378418,40.87135253,30.99911653,30.99911653,30.99911653,110.813195,55.4065975,153.4336546,83.47372759,70.29366534,123.0139143,25.94668824,12.97334412,38.92003236,33.81730661,8.454326653,42.27163327,94.56494611,19.29896859,110.004121,115.165794,32.90451257,148.0703066,62.35549208,10.39258201,67.55178309,53.24975394,53.24975394,53.24975394,147.8381646,27.71965585,166.3179351,68.47944766,18.89088211,87.37032977,42.15525141,18.73566729,56.20700188,33.98964909,135.9585964,158.6183624,72.83720267,48.55813511,72.83720267,120.6171423,21.5387754,133.5404075,59.50814457,35.70488674,83.3114024,66.99456752,33.49728376,100.4918513,99.35412052,99.35412052,99.35412052
71.65502275,35.82751137,71.65502275,27.63814886,27.63814886,48.3667605,30.50402452,61.00804903,61.00804903,21.6058492,21.6058492,21.6058492,53.31283213,53.31283213,92.21679071,53.99472234,6.749340293,60.74406264,36.99217213,51.78904099,77.68356148,9.176229735,9.176229735,18.35245947,153.5004529,307.0009057,307.0009057,44.95554659,30.56977168,66.53420895,50.06919363,18.77594761,56.32784283,20.75072732,41.50145464,62.25218196,24.29527567,24.29527567,48.59055135,26.55027831,26.55027831,39.82541747,39.8170554,18.73743783,51.52795404,47.41605189,23.70802595,63.22140253,35.0284849,7.00569698,42.03418188,35.5737801,17.78689005,35.5737801,50.37854405,12.59463601,62.97318006,5.398687309,21.59474924,43.18949847,26.76924557,17.84616371,44.61540928,27.45183665,41.17775498,68.62959163,49.42123738,43.24358271,74.13185607,29.19270599,21.89452949,51.08723547,53.58396574,53.58396574,80.37594862,23.39163651,116.9581826,140.3498191,17.97040597,35.94081194,35.94081194,44.57683775,74.29472959,118.8715673,60.16622445,15.04155611,60.16622445,64.68968743,25.87587497,64.68968743,92.95143093,92.95143093,162.6650041,70.74078015,27.20799237,87.06557557,14.06302295,28.1260459,42.18906885,66.5476889,66.5476889,99.82153335,46.40801448,29.53237285,63.2836561,13.89469964,46.31566548,55.57879857,144.2602213,26.22913115,144.2602213,57.43309787,90.25201094,98.45673921,55.15015406,9.848241796,61.05909913,114.9543772,32.84410776,114.9543772,33.25737228,6.651474455,33.25737228,55.29328693,55.29328693,55.29328693,35.44135917,17.72067958,44.30169896,45.68761318,20.55942593,50.25637449,20.2875863,10.14379315,25.35948287,54.26978848,48.23981198,84.41967096,54.17228906,10.83445781,54.17228906,64.01364966,34.14061315,89.61910952,37.34376252,49.79168336,74.68752504,70.55518006,11.75919668,70.55518006,58.76906888,117.5381378,117.5381378
49.67088636,182.1265833,182.1265833,42.59876853,7.099794756,42.59876853,28.19080773,56.38161546,56.38161546,40.63966599,60.95949899,101.599165,30.79492206,40.16728964,57.57311515,38.68041589,45.12715187,51.57388785,38.89309132,38.89309132,63.64324033,34.6401606,8.660040149,34.6401606,134.0847199,268.1694398,268.1694398,51.96463645,19.05370003,62.35756374,49.1064004,18.41490015,61.3830005,18.62233173,18.62233173,18.62233173,46.2415089,30.8276726,69.36226335,36.19124259,108.5737278,108.5737278,23.9239846,23.9239846,43.49815382,15.20622219,22.80933329,30.41244438,33.03759365,59.46766857,92.50526223,53.09859111,53.09859111,70.79812148,94.99029594,71.24272195,106.8640829,8.243839392,21.98357171,43.96714342,51.59183538,68.78911384,85.9863923,37.50173077,37.50173077,37.50173077,34.06913558,107.885596,119.2419745,26.36307115,43.93845192,61.51383269,39.61252328,12.1884687,45.70675763,52.11714278,78.17571417,104.2342856,16.97507724,33.95015448,33.95015448,48.21862062,33.75303443,77.14979299,14.47736082,57.90944328,57.90944328,57.21558012,91.54492819,114.4311602,84.59045637,42.29522818,84.59045637,86.97937238,30.69860202,102.3286734,37.13362421,24.75574948,37.13362421,30.7702758,61.54055161,61.54055161,46.6603034,27.21851032,62.21373787,39.44019893,35.0579546,70.1159092,35.81299394,23.87532929,35.81299394,70.03859883,77.82066537,116.7309981,42.22181989,11.51504179,49.89851441,128.2485275,73.28487288,128.2485275,18.43933741,24.58578321,30.73222902,54.56839315,54.56839315,54.56839315,34.93528512,26.20146384,43.6691064,19.42291952,38.84583905,51.79445206,26.82907834,8.943026114,31.3005914,50.38182028,33.58788019,61.57778035,103.9558841,28.35160474,132.3074888,36.82780686,36.82780686,69.56363519,56.63959372,11.32791874,56.63959372,82.52218608,23.57776745,82.52218608,102.5910913,153.886637,256.4777284
34.01465397,119.0512889,119.0512889,59.00350949,29.50175475,81.12982555,27.67714293,27.67714293,27.67714293,41.2177973,20.60889865,41.2177973,41.19738376,45.31712214,74.15529077,40.55817512,27.03878341,60.83726268,60.62182403,38.28746781,73.3843133,26.77682754,17.85121836,35.70243672,128.1284772,128.1284772,128.1284772,36.31250527,32.68125475,63.54688423,108.3085487,30.08570796,114.3256902,20.69047841,20.69047841,20.69047841,41.03191041,32.82552833,41.03191041,46.62614782,46.62614782,81.59575869,57.18189777,26.54873825,69.43516158,54.98202175,23.56372361,62.83659628,37.89658069,30.31726455,60.6345291,116.4961859,58.24809293,135.9122168,62.7928493,87.90998902,138.1442685,28.09462364,52.67741933,56.18924728,69.9539029,52.46542718,104.9308544,46.41149041,46.41149041,77.35248402,84.42348723,96.48398541,156.7864763,65.93967694,65.93967694,98.90951542,26.84684623,17.89789749,35.79579497,146.2363151,109.6772363,219.3544726,70.73127572,17.68281893,70.73127572,51.84864215,32.99459046,75.41620676,42.43533123,14.14511041,42.43533123,177.1836441,139.2157203,215.1515678,20.98623922,41.97247844,62.95871766,82.06046895,41.03023448,117.9619241,64.18525747,12.83705149,77.02230896,32.86019144,65.72038288,65.72038288,85.61995178,40.77140561,110.0827951,71.69873887,43.01924332,90.81840256,98.77053152,49.38526576,123.4631644,90.69698669,115.4325285,181.3939734,54.21009038,32.91326916,73.57083694,50.19374149,33.46249433,66.92498865,72.26115198,22.23420061,72.26115198,56.97521201,56.97521201,56.97521201,59.35272305,25.43688131,84.78960436,41.93722545,22.07222392,50.76611502,78.69208713,9.257892603,78.69208713,52.601248,35.06749867,64.29041423,89.65642384,9.961824871,89.65642384,55.1857214,38.20549943,93.39122083,24.32600181,24.32600181,48.65200363,45.78077344,22.89038672,45.78077344,151.2635693,100.8423796,201.6847591
75.02974317,131.3020506,150.0594863,74.3023683,52.01165781,96.59307879,33.75487157,135.0194863,168.7743579,21.26832134,21.26832134,21.26832134,27.46515215,34.69282377,56.37583862,42.6660795,28.444053,49.77709275,23.63990578,43.90268217,50.65694097,68.77332517,19.64952148,68.77332517,148.5369652,148.5369652,148.5369652,48.61712318,24.30856159,63.57623801,70.02679057,31.83035935,76.39286244,22.02827081,44.05654162,44.05654162,8.498616432,59.49031502,59.49031502,11.82184057,47.28736227,47.28736227,15.46385658,15.46385658,26.50946842,70.57115185,31.36495638,70.57115185,37.1364081,44.56368972,51.99097134,86.6936354,34.67745416,121.3710896,53.17715474,106.3543095,159.5314642,17.05020296,55.41315963,68.20081185,91.97765741,71.53817798,102.1973971,77.52818529,108.5394594,124.0450965,44.62819638,76.5054795,95.63184938,77.68890175,29.13333816,77.68890175,17.49163399,34.98326797,41.97992157,87.17056894,130.7558534,130.7558534,105.7628553,52.88142765,105.7628553,48.36552173,38.69241738,72.5482826,27.84439349,27.84439349,41.76659024,41.35642178,55.14189571,68.92736964,22.2874968,44.57499359,44.57499359,36.85935613,42.12497844,73.71871227,66.35129453,26.54051781,66.35129453,32.02509201,64.05018403,64.05018403,40.15349585,64.24559336,92.35304046,24.13507215,33.78910102,48.27014431,24.15198236,12.07599118,24.15198236,46.4610234,69.6915351,108.4090546,19.64357887,41.25151562,58.9307366,18.99555525,18.99555525,18.99555525,5.639370571,11.27874114,16.91811171,55.0495252,55.0495252,55.0495252,44.46936358,35.57549086,62.25710901,41.4832967,29.96015873,57.61568986,19.31813099,9.659065495,19.31813099,30.92717077,24.74173662,43.29803908,21.64656996,43.29313991,43.29313991,34.30942262,60.04148958,85.77355654,24.12206232,24.12206232,24.12206232,79.961629,34.26926957,79.961629,53.16744195,159.5023258,159.5023258
51.76384358,17.25461453,69.01845811,34.63657231,0,34.63657231,54.07239714,54.07239714,81.10859571,95.24493535,114.2939224,171.4408836,78.34935768,66.19169873,117.5240365,34.70803688,48.59125163,76.35768114,54.20775994,28.9108053,75.89086391,87.91280401,19.53617867,87.91280401,35.4265541,141.7062164,141.7062164,68.26250932,22.13919221,79.33210543,23.98518475,29.98148094,47.9703695,20.88247797,0,20.88247797,24.47192656,32.62923542,57.10116198,48.87670505,61.09588131,97.75341009,44.04194419,19.81887489,48.44613861,53.0196493,30.29694246,68.16812053,41.38022631,34.48352193,55.17363508,62.75232741,78.44040926,109.816573,12.72208629,50.88834514,50.88834514,31.73786389,35.26429321,35.26429321,73.6976133,55.27320998,110.54642,56.51347401,113.026948,113.026948,85.68161453,91.80172985,146.8827678,75.65710302,56.74282727,104.0285167,35.16856943,6.39428535,35.16856943,33.24928116,182.8710464,216.1203275,17.77639862,35.55279725,35.55279725,38.06513661,33.30699454,61.855847,43.59879306,14.53293102,58.13172408,52.94418658,26.47209329,79.41627987,62.06654549,82.75539398,103.4442425,64.4609834,50.64791553,105.900187,61.9336806,61.9336806,86.70715284,0,59.84147508,59.84147508,48.96901633,41.43532151,86.63749043,67.80405028,45.20270019,90.40540037,51.73927295,12.93481824,51.73927295,71.67706551,71.67706551,103.5335391,71.98694334,22.73271895,90.9308758,68.31340321,51.23505241,119.5484556,52.55090667,26.27545334,68.31617867,0,0,0,70.00750871,61.25657012,113.7622017,34.79765675,51.03656323,83.5143762,23.04113245,27.64935894,41.47403841,11.84294596,23.68589192,35.52883787,40.18512699,30.13884525,70.32397224,63.02405364,21.00801788,79.83046795,72.90284013,48.60189342,97.20378683,58.00161621,9.666936034,67.66855224,0,55.24358993,55.24358993
99.76788841,83.13990701,149.6518326,147.1616436,0,147.1616436,56.11286496,56.11286496,56.11286496,20.46334504,122.7800702,122.7800702,24.01521815,36.02282722,57.0361431,35.69333211,21.41599927,49.97066496,14.61929215,36.54823037,43.85787645,40.12438635,10.03109659,50.15548293,73.28116154,109.9217423,109.9217423,34.34002093,47.69447352,70.58782081,36.31183652,48.41578203,66.57170029,39.97837648,0,39.97837648,25.50668399,25.50668399,51.01336799,35.05703489,23.3713566,46.74271319,24.14242083,24.14242083,41.70054507,23.9604915,47.920983,47.920983,46.89927297,15.63309099,46.89927297,65.05523348,32.52761674,65.05523348,13.06585499,39.19756496,39.19756496,10.62879272,21.25758545,21.25758545,80.68329899,44.824055,98.61292099,14.36119926,28.72239852,43.08359778,63.4909038,69.83999418,107.9345365,47.88851827,28.73311096,76.62162923,14.32672608,17.9084076,28.65345216,52.37764355,69.83685806,69.83685806,17.79900532,35.59801064,35.59801064,34.33731273,34.33731273,58.86396468,15.31388013,15.31388013,15.31388013,24.09800873,36.1470131,60.24502183,22.13315703,22.13315703,44.26631406,31.25576019,31.25576019,62.51152038,38.16195396,50.88260528,63.6032566,30.4675039,30.4675039,60.9350078,48.17686217,32.11790811,72.26529325,41.01676967,22.78709426,50.13160737,27.5902173,27.5902173,41.38532595,31.99816483,31.99816483,55.99678844,39.34107103,15.73642841,53.11044589,22.37155756,22.37155756,22.37155756,16.58423648,22.11231531,22.11231531,0,0,0,8.864444244,8.864444244,17.72888849,39.2450279,36.93649684,62.33033843,15.09594069,5.031980231,20.12792092,11.73197215,11.73197215,11.73197215,45.04503889,22.52251944,56.30629861,65.55341016,56.81295547,100.5152289,25.2393979,50.4787958,63.09849476,31.96078491,21.30718994,42.61437989,0,94.177929,94.177929
