1. Economic Policy Uncertainty,2. Monetary policy,Fiscal Policy (Taxes OR Spending),3. Taxes,4. Government spending,5. Health care,6. National security,7. Entitlement programs,8. Regulation,Financial Regulation,9. Trade policy,"10. Sovereign debt, currency crises"
123.3561654,176.5998965,159.9051309,143.2302806,281.5105119,70.98295565,110.7043242,114.7748933,70.38983213,50.31206805,205.7885052,186.0742986
87.84960145,109.4703201,98.70414491,82.17167841,138.8017863,47.83184353,83.86765931,24.78879091,63.02176091,34.77207392,100.3949488,192.9017088
109.6531363,94.2344387,144.2618038,130.7566554,186.5782438,119.4066124,108.355994,132.0156205,146.2860137,188.0762487,104.426778,128.4150913
71.73418347,60.87680535,79.42459691,77.91493754,77.56257024,32.0741756,61.56624117,30.25276788,98.30997485,166.7151313,43.75861845,33.63162142
70.52105889,47.02287394,55.41095251,57.68328781,40.30403634,36.11136908,41.65601958,22.45760427,95.15845097,65.6292494,66.32034088,0
82.52077727,67.46421329,72.7645322,69.45223495,80.20024228,22.87236055,99.4686339,57.78615965,92.78690052,189.1367266,68.26013605,89.9362053
86.19914673,78.50502951,65.07528783,67.59357066,48.44727457,38.95544773,90.13035522,37.49313341,82.77844613,105.1857681,113.8857847,145.8822564
98.90107854,119.2715561,45.41319858,39.36396333,63.86188838,40.18697115,75.76124001,58.01764163,85.39537397,108.5110729,48.95255362,120.3953002
114.1515981,103.3323757,75.39310235,69.63982314,65.90485232,20.73628314,124.3850178,27.94103484,117.5029354,97.98458227,90.93341301,62.12339379
69.97617522,74.32218322,67.41705334,55.6541039,87.93470573,31.24973512,80.09191386,49.76323215,71.70919581,120.8155947,96.89508842,0
58.85446283,51.41551878,35.45692525,35.90501097,38.78075566,31.50099239,51.53353848,23.15231239,33.5612454,0,58.60449245,30.02782345
93.83407771,95.28586004,78.48763855,75.89832402,87.27128868,31.84322438,79.58715013,57.20939385,110.0415726,238.2408463,63.35515227,111.2981859
95.64348876,67.41013119,59.95354149,51.48776971,80.41792073,37.54589842,117.4341703,32.52284634,87.03624206,25.34494143,73.17665614,56.24148302
101.4528656,91.16194797,91.19547592,74.05028896,114.5999403,36.67091719,135.3647437,26.60651743,68.66024514,53.31694324,125.0748182,29.57813067
120.5905183,128.5026555,117.2429379,93.09087302,172.365964,105.8838192,144.0674429,86.99560693,123.3913671,61.01583747,88.0833552,54.15867614
125.6575476,75.27427802,95.32908048,83.04745906,97.2560477,67.93572593,140.1825066,84.21658377,146.9848683,51.36236754,55.61059863,28.4938094
84.91120659,55.47670121,66.30389519,63.55954734,63.67557601,32.91441994,93.07633283,53.85408656,103.85261,155.5295935,80.18742695,49.30380861
101.5632279,49.94817243,75.14428669,63.27374879,84.99620268,26.12364682,78.35035459,38.40023986,196.9663836,100.9974617,56.70054933,124.5097686
93.54481519,58.80464702,72.54406101,62.88087708,102.0144115,25.21968751,118.2721865,30.89289359,80.60737684,97.50263588,265.8728806,48.08053757
98.32611617,58.90157454,68.28670424,61.8597998,90.24275135,16.74515145,97.57467443,19.33988391,90.57398912,124.3399121,269.2483731,50.16644643
102.2968645,77.43656602,99.78002683,77.62905606,159.7078287,66.04341409,123.0914522,60.38605498,91.43302861,111.4546816,120.6732061,49.4645182
167.8614839,197.2008588,146.0516102,130.4804756,183.7643804,40.23075964,284.2226911,27.10440075,181.3390778,211.2236557,30.4925558,0
177.4692697,162.9438183,207.7235338,177.9198855,365.6775538,100.6624349,236.1591319,108.509807,231.908103,517.9380636,99.18508685,46.9112728
178.329763,170.2558524,266.3490965,224.762562,451.8392307,206.9253896,235.9558748,298.145141,118.2049183,145.2146719,62.89020714,42.96498916
186.2974898,178.2024015,202.5288486,179.2678307,245.8742251,65.66542677,289.6990577,62.79272504,103.1174115,130.1203614,122.8208523,266.5315509
153.601721,145.6718953,135.6487099,120.0944788,148.2436816,78.88213252,269.0300754,51.62631091,146.2871774,372.7395479,138.3665816,47.26426378
271.8324093,343.66884,271.2848413,241.6227415,334.9200618,151.6105757,758.2634099,113.1861288,201.3202405,580.8658692,97.83042065,0
153.9738099,172.3233033,158.3834514,153.4117554,378.7405325,391.5480853,234.8671419,527.590148,352.9785136,273.3207576,128.9939869,0
122.1363771,176.3829734,78.83839855,73.55461459,76.45914837,27.66564627,298.7104962,47.9288338,112.2319475,261.4554185,148.2803399,0
111.1681082,117.5936527,68.09060519,68.58819743,44.34819314,39.5958955,133.7573034,50.5452846,86.42065738,128.0167366,78.18750623,21.85188326
79.57537906,52.78300005,60.36921666,67.19264358,35.12840681,48.42175313,93.18739061,29.90429204,54.56494071,66.73507281,103.221136,21.15541604
84.9416968,48.23958314,67.62559361,62.80454024,62.02034506,72.6666534,89.7411108,60.47656418,69.36204815,90.89198395,87.47533142,0
109.7069054,96.67242759,92.06665376,89.78062775,84.93092671,102.7937152,102.7667141,80.79694297,129.3490649,141.6707497,94.95476986,112.2761812
102.425411,82.48524316,69.30375333,57.41965408,82.69143182,34.60218008,130.6397909,35.65409895,66.05720695,86.56132213,48.59601849,42.6851527
117.1181443,96.21957091,72.3093718,64.60868743,79.75245645,68.02073748,106.3317609,72.21248942,111.4915138,126.6186211,56.24261324,0
112.0872265,111.7930834,101.2519037,108.6067938,70.26769921,61.17379655,113.5240324,82.42842601,146.4864813,316.1624815,84.76311655,40.0901568
172.5034415,201.0340978,208.7442158,216.5442795,167.1843492,186.9060827,143.4579454,192.2695049,143.1300238,180.4350561,116.5299382,0
185.4754762,160.0887572,167.8428631,173.1553553,156.0009861,111.0083908,239.9664149,146.755658,156.7188353,267.220968,207.1696077,65.88605364
162.1154695,160.1280451,213.3596823,222.9367728,189.1940888,193.6162317,206.2063781,189.0103598,119.3311032,84.02045482,134.7701747,20.71609961
169.7040451,160.0204103,180.2424386,185.7795365,158.9180639,153.8938317,165.9121887,126.0995625,127.4857289,98.26895199,99.30374725,43.6125813
125.4098384,95.02530672,122.9614518,124.1121497,103.9272241,109.2940865,141.1190136,119.8112124,131.9273715,78.77964029,164.2729699,0
95.18696839,71.47795214,76.15170365,76.28309772,70.16085804,59.17200809,96.17696285,87.44703801,96.36200028,81.17530979,97.65488686,120.0876006
93.57783044,48.04074435,93.99875003,89.11268243,86.89075272,80.27278135,73.37297914,72.10885915,89.59536223,90.31208146,117.3382573,0
119.8197537,86.18208484,89.49097872,74.65604858,114.9458221,77.85600462,129.0431553,69.01763886,94.19803816,58.0880233,167.7134397,21.48329141
